id,aciklama
554,Detay_554
555,Detay_555
556,Detay_556
557,Detay_557
558,Detay_558
559,Detay_559
560,Detay_560
561,Detay_561
562,Detay_562
563,Detay_563
564,Detay_564
565,Detay_565
566,Detay_566
567,Detay_567
568,Detay_568
569,Detay_569
570,Detay_570
571,Detay_571
572,Detay_572
573,Detay_573
574,Detay_574
575,Detay_575
576,Detay_576
577,Detay_577
578,Detay_578
579,Detay_579
580,Detay_580
581,Detay_581
582,Detay_582
583,Detay_583
584,Detay_584
585,Detay_585
586,Detay_586
587,Detay_587
588,Detay_588
589,Detay_589
590,Detay_590
591,Detay_591
592,Detay_592
593,Detay_593
594,Detay_594
595,Detay_595
596,Detay_596
597,Detay_597
598,Detay_598
599,Detay_599
600,Detay_600
601,Detay_601
602,Detay_602
603,Detay_603
604,Detay_604
605,Detay_605
606,Detay_606
607,Detay_607
608,Detay_608
609,Detay_609
610,Detay_610
611,Detay_611
612,Detay_612
613,Detay_613
614,Detay_614
615,Detay_615
616,Detay_616
617,Detay_617
618,Detay_618
619,Detay_619
620,Detay_620
621,Detay_621
622,Detay_622
623,Detay_623
624,Detay_624
625,Detay_625
626,Detay_626
627,Detay_627
628,Detay_628
629,Detay_629
630,Detay_630
631,Detay_631
632,Detay_632
633,Detay_633
634,Detay_634
635,Detay_635
636,Detay_636
637,Detay_637
638,Detay_638
639,Detay_639
640,Detay_640
641,Detay_641
642,Detay_642
643,Detay_643
644,Detay_644
645,Detay_645
646,Detay_646
647,Detay_647
648,Detay_648
649,Detay_649
650,Detay_650
651,Detay_651
652,Detay_652
653,Detay_653
654,Detay_654
655,Detay_655
656,Detay_656
657,Detay_657
658,Detay_658
659,Detay_659
660,Detay_660
661,Detay_661
662,Detay_662
663,Detay_663
664,Detay_664
665,Detay_665
666,Detay_666
667,Detay_667
668,Detay_668
669,Detay_669
670,Detay_670
671,Detay_671
672,Detay_672
673,Detay_673
674,Detay_674
675,Detay_675
676,Detay_676
677,Detay_677
678,Detay_678
679,Detay_679
680,Detay_680
681,Detay_681
682,Detay_682
683,Detay_683
684,Detay_684
685,Detay_685
686,Detay_686
687,Detay_687
688,Detay_688
689,Detay_689
690,Detay_690
691,Detay_691
692,Detay_692
693,Detay_693
694,Detay_694
695,Detay_695
696,Detay_696
697,Detay_697
698,Detay_698
699,Detay_699
700,Detay_700
701,Detay_701
702,Detay_702
703,Detay_703
704,Detay_704
705,Detay_705
706,Detay_706
707,Detay_707
708,Detay_708
709,Detay_709
710,Detay_710
711,Detay_711
712,Detay_712
713,Detay_713
714,Detay_714
715,Detay_715
716,Detay_716
717,Detay_717
718,Detay_718
719,Detay_719
720,Detay_720
721,Detay_721
722,Detay_722
723,Detay_723
724,Detay_724
725,Detay_725
726,Detay_726
727,Detay_727
728,Detay_728
729,Detay_729
730,Detay_730
731,Detay_731
732,Detay_732
733,Detay_733
734,Detay_734
735,Detay_735
736,Detay_736
737,Detay_737
738,Detay_738
739,Detay_739
740,Detay_740
741,Detay_741
742,Detay_742
743,Detay_743
744,Detay_744
745,Detay_745
746,Detay_746
747,Detay_747
748,Detay_748
749,Detay_749
750,Detay_750
751,Detay_751
752,Detay_752
753,Detay_753
754,Detay_754
755,Detay_755
756,Detay_756
757,Detay_757
758,Detay_758
759,Detay_759
760,Detay_760
761,Detay_761
762,Detay_762
763,Detay_763
764,Detay_764
765,Detay_765
766,Detay_766
767,Detay_767
768,Detay_768
769,Detay_769
770,Detay_770
771,Detay_771
772,Detay_772
773,Detay_773
774,Detay_774
775,Detay_775
776,Detay_776
777,Detay_777
778,Detay_778
779,Detay_779
780,Detay_780
781,Detay_781
782,Detay_782
783,Detay_783
784,Detay_784
785,Detay_785
786,Detay_786
787,Detay_787
788,Detay_788
789,Detay_789
790,Detay_790
791,Detay_791
792,Detay_792
793,Detay_793
794,Detay_794
795,Detay_795
796,Detay_796
797,Detay_797
798,Detay_798
799,Detay_799
800,Detay_800
801,Detay_801
802,Detay_802
803,Detay_803
804,Detay_804
805,Detay_805
806,Detay_806
807,Detay_807
808,Detay_808
809,Detay_809
810,Detay_810
811,Detay_811
812,Detay_812
813,Detay_813
814,Detay_814
815,Detay_815
816,Detay_816
817,Detay_817
818,Detay_818
819,Detay_819
820,Detay_820
821,Detay_821
822,Detay_822
823,Detay_823
824,Detay_824
825,Detay_825
826,Detay_826
827,Detay_827
828,Detay_828
829,Detay_829
830,Detay_830
831,Detay_831
832,Detay_832
833,Detay_833
834,Detay_834
835,Detay_835
836,Detay_836
837,Detay_837
838,Detay_838
839,Detay_839
840,Detay_840
841,Detay_841
842,Detay_842
843,Detay_843
844,Detay_844
845,Detay_845
846,Detay_846
847,Detay_847
848,Detay_848
849,Detay_849
850,Detay_850
851,Detay_851
852,Detay_852
853,Detay_853
854,Detay_854
855,Detay_855
856,Detay_856
857,Detay_857
858,Detay_858
859,Detay_859
860,Detay_860
861,Detay_861
862,Detay_862
863,Detay_863
864,Detay_864
865,Detay_865
866,Detay_866
867,Detay_867
868,Detay_868
869,Detay_869
870,Detay_870
871,Detay_871
872,Detay_872
873,Detay_873
874,Detay_874
875,Detay_875
876,Detay_876
877,Detay_877
878,Detay_878
879,Detay_879
880,Detay_880
881,Detay_881
882,Detay_882
883,Detay_883
884,Detay_884
885,Detay_885
886,Detay_886
887,Detay_887
888,Detay_888
889,Detay_889
890,Detay_890
891,Detay_891
892,Detay_892
893,Detay_893
894,Detay_894
895,Detay_895
896,Detay_896
897,Detay_897
898,Detay_898
899,Detay_899
900,Detay_900
901,Detay_901
902,Detay_902
903,Detay_903
904,Detay_904
905,Detay_905
906,Detay_906
907,Detay_907
908,Detay_908
909,Detay_909
910,Detay_910
911,Detay_911
912,Detay_912
913,Detay_913
914,Detay_914
915,Detay_915
916,Detay_916
917,Detay_917
918,Detay_918
919,Detay_919
920,Detay_920
921,Detay_921
922,Detay_922
923,Detay_923
924,Detay_924
925,Detay_925
926,Detay_926
927,Detay_927
928,Detay_928
929,Detay_929
930,Detay_930
931,Detay_931
932,Detay_932
933,Detay_933
934,Detay_934
935,Detay_935
936,Detay_936
937,Detay_937
938,Detay_938
939,Detay_939
940,Detay_940
941,Detay_941
942,Detay_942
943,Detay_943
944,Detay_944
945,Detay_945
946,Detay_946
947,Detay_947
948,Detay_948
949,Detay_949
950,Detay_950
951,Detay_951
952,Detay_952
953,Detay_953
954,Detay_954
955,Detay_955
956,Detay_956
957,Detay_957
958,Detay_958
959,Detay_959
960,Detay_960
961,Detay_961
962,Detay_962
963,Detay_963
964,Detay_964
965,Detay_965
966,Detay_966
967,Detay_967
968,Detay_968
969,Detay_969
970,Detay_970
971,Detay_971
972,Detay_972
973,Detay_973
974,Detay_974
975,Detay_975
976,Detay_976
977,Detay_977
978,Detay_978
979,Detay_979
980,Detay_980
981,Detay_981
982,Detay_982
983,Detay_983
984,Detay_984
985,Detay_985
986,Detay_986
987,Detay_987
988,Detay_988
989,Detay_989
990,Detay_990
991,Detay_991
992,Detay_992
993,Detay_993
994,Detay_994
995,Detay_995
996,Detay_996
997,Detay_997
998,Detay_998
999,Detay_999
1000,Detay_1000
