id,kategori,deger,aciklama
184,A,468,Detay_184
185,A,464,Detay_185
186,B,412,Detay_186
187,C,353,Detay_187
188,C,296,Detay_188
189,B,445,Detay_189
190,C,185,Detay_190
191,C,17,Detay_191
192,A,59,Detay_192
193,C,198,Detay_193
194,C,97,Detay_194
195,B,401,Detay_195
196,B,22,Detay_196
197,D,211,Detay_197
198,A,156,Detay_198
199,C,443,Detay_199
200,C,416,Detay_200
201,D,450,Detay_201
202,C,371,Detay_202
203,A,362,Detay_203
204,D,167,Detay_204
205,A,487,Detay_205
206,D,422,Detay_206
207,D,494,Detay_207
208,B,70,Detay_208
209,A,44,Detay_209
210,C,402,Detay_210
211,C,465,Detay_211
212,A,377,Detay_212
213,C,290,Detay_213
214,C,386,Detay_214
215,A,115,Detay_215
216,D,329,Detay_216
217,A,380,Detay_217
218,D,119,Detay_218
219,C,302,Detay_219
220,C,303,Detay_220
221,C,273,Detay_221
222,B,483,Detay_222
223,D,340,Detay_223
224,B,433,Detay_224
225,B,288,Detay_225
226,A,233,Detay_226
227,B,182,Detay_227
228,A,138,Detay_228
229,A,442,Detay_229
230,B,255,Detay_230
231,D,18,Detay_231
232,D,305,Detay_232
233,D,165,Detay_233
234,D,106,Detay_234
235,D,361,Detay_235
236,B,145,Detay_236
237,B,302,Detay_237
238,C,219,Detay_238
239,D,464,Detay_239
240,B,283,Detay_240
241,C,121,Detay_241
242,D,213,Detay_242
243,A,461,Detay_243
244,C,86,Detay_244
245,B,84,Detay_245
246,A,89,Detay_246
247,A,53,Detay_247
248,A,87,Detay_248
249,C,409,Detay_249
250,B,445,Detay_250
251,A,190,Detay_251
252,D,223,Detay_252
253,A,283,Detay_253
254,A,433,Detay_254
255,C,198,Detay_255
256,C,290,Detay_256
257,B,44,Detay_257
258,D,80,Detay_258
259,C,221,Detay_259
260,A,292,Detay_260
261,B,230,Detay_261
262,A,147,Detay_262
263,A,84,Detay_263
264,C,413,Detay_264
265,B,170,Detay_265
266,D,244,Detay_266
267,D,494,Detay_267
268,C,255,Detay_268
269,C,214,Detay_269
270,B,345,Detay_270
271,D,404,Detay_271
272,D,462,Detay_272
273,D,495,Detay_273
274,A,332,Detay_274
275,D,196,Detay_275
276,A,459,Detay_276
277,B,446,Detay_277
278,A,431,Detay_278
279,B,147,Detay_279
280,D,15,Detay_280
281,D,222,Detay_281
282,B,104,Detay_282
283,C,427,Detay_283
284,B,58,Detay_284
285,C,264,Detay_285
286,A,297,Detay_286
287,A,294,Detay_287
288,A,387,Detay_288
289,D,458,Detay_289
290,A,426,Detay_290
291,C,239,Detay_291
292,A,282,Detay_292
293,B,107,Detay_293
294,B,58,Detay_294
295,D,153,Detay_295
296,B,144,Detay_296
297,C,237,Detay_297
298,A,278,Detay_298
299,D,221,Detay_299
300,A,397,Detay_300
301,A,328,Detay_301
302,C,206,Detay_302
303,B,473,Detay_303
304,B,133,Detay_304
305,A,338,Detay_305
306,D,244,Detay_306
307,B,341,Detay_307
308,D,87,Detay_308
309,B,280,Detay_309
310,D,398,Detay_310
311,C,307,Detay_311
312,D,283,Detay_312
313,C,337,Detay_313
314,C,145,Detay_314
315,D,482,Detay_315
316,C,333,Detay_316
317,A,380,Detay_317
318,C,163,Detay_318
319,B,84,Detay_319
320,D,335,Detay_320
321,A,426,Detay_321
322,D,31,Detay_322
323,B,265,Detay_323
324,B,486,Detay_324
325,B,78,Detay_325
326,C,138,Detay_326
327,C,351,Detay_327
328,D,44,Detay_328
329,D,193,Detay_329
330,A,232,Detay_330
331,A,135,Detay_331
332,D,332,Detay_332
333,C,140,Detay_333
334,B,208,Detay_334
335,D,138,Detay_335
336,A,307,Detay_336
337,C,67,Detay_337
338,D,353,Detay_338
339,D,238,Detay_339
340,C,231,Detay_340
341,D,233,Detay_341
342,C,361,Detay_342
343,B,94,Detay_343
344,C,249,Detay_344
345,C,457,Detay_345
346,C,473,Detay_346
347,D,269,Detay_347
348,D,26,Detay_348
349,C,86,Detay_349
350,D,364,Detay_350
351,A,433,Detay_351
352,A,427,Detay_352
353,D,449,Detay_353
354,D,20,Detay_354
355,C,493,Detay_355
356,B,482,Detay_356
357,D,305,Detay_357
358,A,487,Detay_358
359,C,150,Detay_359
360,D,161,Detay_360
361,A,109,Detay_361
362,A,299,Detay_362
363,B,145,Detay_363
364,C,256,Detay_364
365,C,219,Detay_365
366,B,400,Detay_366
367,B,327,Detay_367
368,C,55,Detay_368
369,C,223,Detay_369
370,D,208,Detay_370
371,D,136,Detay_371
372,B,391,Detay_372
373,D,22,Detay_373
374,A,395,Detay_374
375,D,245,Detay_375
376,D,267,Detay_376
377,A,38,Detay_377
378,B,356,Detay_378
379,A,497,Detay_379
380,D,347,Detay_380
381,B,451,Detay_381
382,D,11,Detay_382
383,A,452,Detay_383
384,A,446,Detay_384
385,D,205,Detay_385
386,C,326,Detay_386
387,C,442,Detay_387
388,A,183,Detay_388
389,A,337,Detay_389
390,C,109,Detay_390
391,C,68,Detay_391
392,D,313,Detay_392
393,D,402,Detay_393
394,C,411,Detay_394
395,D,315,Detay_395
396,D,351,Detay_396
397,B,246,Detay_397
398,D,212,Detay_398
399,A,164,Detay_399
400,D,425,Detay_400
401,D,331,Detay_401
402,C,75,Detay_402
403,A,231,Detay_403
404,D,287,Detay_404
405,D,351,Detay_405
406,B,161,Detay_406
407,D,356,Detay_407
408,D,212,Detay_408
409,B,406,Detay_409
410,C,387,Detay_410
411,D,228,Detay_411
412,B,152,Detay_412
413,A,377,Detay_413
414,C,442,Detay_414
415,A,154,Detay_415
416,A,304,Detay_416
417,B,210,Detay_417
418,D,96,Detay_418
419,B,13,Detay_419
420,B,450,Detay_420
421,B,24,Detay_421
422,B,180,Detay_422
423,C,389,Detay_423
424,D,424,Detay_424
425,A,271,Detay_425
426,A,483,Detay_426
427,D,452,Detay_427
428,A,330,Detay_428
429,D,351,Detay_429
430,A,39,Detay_430
431,B,323,Detay_431
432,A,95,Detay_432
433,D,234,Detay_433
434,D,65,Detay_434
435,D,206,Detay_435
436,D,429,Detay_436
437,D,311,Detay_437
438,C,467,Detay_438
439,C,394,Detay_439
440,A,254,Detay_440
441,D,405,Detay_441
442,A,378,Detay_442
443,D,76,Detay_443
444,D,134,Detay_444
445,C,19,Detay_445
446,C,10,Detay_446
447,B,284,Detay_447
448,C,347,Detay_448
449,B,246,Detay_449
450,B,381,Detay_450
451,B,104,Detay_451
452,B,192,Detay_452
453,B,186,Detay_453
454,A,192,Detay_454
455,C,223,Detay_455
456,B,333,Detay_456
457,D,306,Detay_457
458,C,192,Detay_458
459,C,467,Detay_459
460,B,467,Detay_460
461,A,216,Detay_461
462,B,78,Detay_462
463,A,379,Detay_463
464,D,180,Detay_464
465,C,474,Detay_465
466,D,91,Detay_466
467,A,322,Detay_467
468,A,313,Detay_468
469,D,315,Detay_469
470,A,462,Detay_470
471,D,401,Detay_471
472,C,193,Detay_472
473,D,119,Detay_473
474,C,484,Detay_474
475,D,226,Detay_475
476,A,125,Detay_476
477,D,419,Detay_477
478,A,118,Detay_478
479,D,288,Detay_479
480,D,50,Detay_480
481,B,96,Detay_481
482,A,102,Detay_482
483,B,234,Detay_483
484,A,324,Detay_484
485,B,264,Detay_485
486,C,283,Detay_486
487,D,336,Detay_487
488,A,233,Detay_488
489,A,498,Detay_489
490,D,208,Detay_490
491,A,389,Detay_491
492,A,145,Detay_492
493,B,123,Detay_493
494,A,451,Detay_494
495,C,478,Detay_495
496,C,371,Detay_496
497,D,282,Detay_497
498,A,316,Detay_498
499,D,426,Detay_499
500,C,295,Detay_500
501,A,75,Detay_501
502,A,197,Detay_502
503,D,183,Detay_503
504,C,493,Detay_504
505,A,287,Detay_505
506,D,41,Detay_506
507,C,418,Detay_507
508,D,250,Detay_508
509,B,145,Detay_509
510,A,490,Detay_510
511,B,72,Detay_511
512,C,38,Detay_512
513,B,218,Detay_513
514,B,49,Detay_514
515,C,182,Detay_515
516,D,11,Detay_516
517,B,265,Detay_517
518,D,314,Detay_518
519,B,496,Detay_519
520,D,249,Detay_520
521,C,250,Detay_521
522,B,40,Detay_522
523,C,77,Detay_523
524,B,243,Detay_524
525,C,355,Detay_525
526,C,402,Detay_526
527,B,488,Detay_527
528,B,19,Detay_528
529,B,60,Detay_529
530,A,207,Detay_530
531,D,181,Detay_531
532,A,35,Detay_532
533,A,212,Detay_533
534,C,344,Detay_534
535,B,130,Detay_535
536,D,477,Detay_536
537,C,471,Detay_537
538,A,245,Detay_538
539,B,414,Detay_539
540,C,117,Detay_540
541,B,100,Detay_541
542,C,39,Detay_542
543,B,208,Detay_543
544,A,238,Detay_544
545,D,152,Detay_545
546,A,89,Detay_546
547,D,132,Detay_547
548,B,244,Detay_548
549,C,452,Detay_549
550,A,93,Detay_550
551,D,122,Detay_551
552,A,367,Detay_552
553,D,349,Detay_553
554,A,479,Detay_554
555,D,335,Detay_555
556,D,373,Detay_556
557,B,113,Detay_557
558,D,157,Detay_558
559,B,206,Detay_559
560,D,318,Detay_560
561,C,212,Detay_561
562,C,139,Detay_562
563,C,167,Detay_563
564,D,145,Detay_564
565,B,305,Detay_565
566,B,387,Detay_566
567,D,145,Detay_567
568,C,154,Detay_568
569,C,240,Detay_569
570,B,108,Detay_570
571,C,39,Detay_571
572,A,394,Detay_572
573,B,206,Detay_573
574,C,73,Detay_574
575,B,473,Detay_575
576,A,45,Detay_576
577,B,88,Detay_577
578,B,186,Detay_578
579,B,90,Detay_579
580,B,214,Detay_580
581,A,33,Detay_581
582,D,116,Detay_582
583,B,249,Detay_583
584,B,141,Detay_584
585,C,248,Detay_585
586,B,388,Detay_586
587,C,119,Detay_587
588,D,86,Detay_588
589,A,455,Detay_589
590,A,146,Detay_590
591,D,291,Detay_591
592,A,312,Detay_592
593,D,409,Detay_593
594,D,243,Detay_594
595,D,174,Detay_595
596,A,116,Detay_596
597,C,463,Detay_597
598,D,276,Detay_598
599,B,395,Detay_599
600,A,487,Detay_600
601,D,132,Detay_601
602,D,92,Detay_602
603,B,288,Detay_603
604,C,184,Detay_604
605,C,327,Detay_605
606,C,341,Detay_606
607,D,48,Detay_607
608,D,399,Detay_608
609,D,429,Detay_609
610,A,455,Detay_610
611,B,325,Detay_611
612,D,119,Detay_612
613,B,499,Detay_613
614,B,344,Detay_614
615,C,301,Detay_615
616,A,86,Detay_616
617,D,337,Detay_617
618,C,482,Detay_618
619,C,353,Detay_619
620,D,168,Detay_620
621,B,177,Detay_621
622,C,69,Detay_622
623,B,406,Detay_623
624,A,358,Detay_624
625,B,489,Detay_625
626,A,244,Detay_626
627,B,46,Detay_627
628,C,260,Detay_628
629,C,70,Detay_629
630,A,155,Detay_630
631,D,483,Detay_631
632,A,411,Detay_632
633,A,427,Detay_633
634,B,319,Detay_634
635,B,387,Detay_635
636,A,296,Detay_636
637,C,88,Detay_637
638,B,174,Detay_638
639,D,349,Detay_639
640,B,357,Detay_640
641,B,77,Detay_641
642,D,465,Detay_642
643,A,451,Detay_643
644,D,393,Detay_644
645,A,219,Detay_645
646,A,361,Detay_646
647,A,446,Detay_647
648,D,96,Detay_648
649,A,71,Detay_649
650,C,88,Detay_650
651,D,245,Detay_651
652,C,272,Detay_652
653,A,377,Detay_653
654,B,168,Detay_654
655,A,264,Detay_655
656,C,361,Detay_656
657,C,49,Detay_657
658,D,87,Detay_658
659,B,348,Detay_659
660,D,187,Detay_660
661,C,497,Detay_661
662,A,89,Detay_662
663,B,402,Detay_663
664,A,202,Detay_664
665,A,34,Detay_665
666,B,145,Detay_666
667,D,304,Detay_667
668,A,169,Detay_668
669,C,273,Detay_669
670,A,150,Detay_670
671,B,204,Detay_671
672,B,203,Detay_672
673,B,374,Detay_673
674,D,421,Detay_674
675,A,13,Detay_675
676,D,288,Detay_676
677,D,299,Detay_677
678,B,448,Detay_678
679,B,336,Detay_679
680,D,103,Detay_680
681,A,195,Detay_681
682,C,338,Detay_682
683,D,284,Detay_683
684,A,146,Detay_684
685,B,32,Detay_685
686,B,212,Detay_686
687,A,22,Detay_687
688,C,486,Detay_688
689,B,424,Detay_689
690,B,337,Detay_690
691,B,375,Detay_691
692,A,284,Detay_692
693,D,14,Detay_693
694,B,484,Detay_694
695,D,432,Detay_695
696,C,385,Detay_696
697,B,407,Detay_697
698,B,159,Detay_698
699,C,415,Detay_699
700,B,270,Detay_700
701,D,455,Detay_701
702,A,445,Detay_702
703,D,345,Detay_703
704,A,432,Detay_704
705,A,291,Detay_705
706,D,126,Detay_706
707,D,89,Detay_707
708,D,134,Detay_708
709,D,449,Detay_709
710,C,405,Detay_710
711,B,473,Detay_711
712,A,314,Detay_712
713,D,497,Detay_713
714,D,149,Detay_714
715,D,361,Detay_715
716,C,398,Detay_716
717,D,109,Detay_717
718,D,101,Detay_718
719,D,133,Detay_719
720,B,256,Detay_720
721,C,444,Detay_721
722,D,245,Detay_722
723,A,13,Detay_723
724,A,368,Detay_724
725,A,368,Detay_725
726,C,102,Detay_726
727,C,476,Detay_727
728,A,290,Detay_728
729,D,236,Detay_729
730,C,161,Detay_730
731,A,193,Detay_731
732,A,284,Detay_732
733,D,288,Detay_733
734,B,360,Detay_734
735,C,92,Detay_735
736,D,105,Detay_736
737,A,214,Detay_737
738,A,55,Detay_738
739,D,155,Detay_739
740,C,198,Detay_740
741,B,80,Detay_741
742,B,54,Detay_742
743,A,225,Detay_743
744,C,130,Detay_744
745,B,439,Detay_745
746,C,26,Detay_746
747,C,408,Detay_747
748,A,338,Detay_748
749,B,299,Detay_749
750,D,108,Detay_750
751,A,401,Detay_751
752,B,59,Detay_752
753,B,384,Detay_753
754,B,148,Detay_754
755,B,353,Detay_755
756,B,179,Detay_756
757,C,103,Detay_757
758,A,222,Detay_758
759,C,436,Detay_759
760,D,44,Detay_760
761,B,68,Detay_761
762,A,149,Detay_762
763,B,466,Detay_763
764,A,21,Detay_764
765,C,37,Detay_765
766,A,230,Detay_766
767,D,183,Detay_767
768,D,374,Detay_768
769,A,305,Detay_769
770,A,364,Detay_770
771,A,294,Detay_771
772,A,385,Detay_772
773,D,137,Detay_773
774,B,463,Detay_774
775,A,153,Detay_775
776,A,265,Detay_776
777,D,311,Detay_777
778,D,229,Detay_778
779,C,202,Detay_779
780,A,294,Detay_780
781,C,61,Detay_781
782,D,49,Detay_782
783,D,15,Detay_783
784,B,292,Detay_784
785,A,174,Detay_785
786,C,415,Detay_786
787,D,272,Detay_787
788,D,394,Detay_788
789,C,86,Detay_789
790,B,185,Detay_790
791,D,444,Detay_791
792,A,245,Detay_792
793,D,151,Detay_793
794,A,344,Detay_794
795,C,264,Detay_795
796,A,405,Detay_796
797,C,186,Detay_797
798,A,434,Detay_798
799,C,205,Detay_799
800,A,251,Detay_800
801,B,245,Detay_801
802,A,116,Detay_802
803,A,222,Detay_803
804,B,395,Detay_804
805,D,384,Detay_805
806,D,94,Detay_806
807,A,455,Detay_807
808,B,322,Detay_808
809,A,151,Detay_809
810,C,437,Detay_810
811,C,331,Detay_811
812,A,84,Detay_812
813,D,174,Detay_813
814,D,87,Detay_814
815,A,440,Detay_815
816,A,198,Detay_816
817,C,349,Detay_817
818,D,236,Detay_818
819,A,292,Detay_819
820,C,186,Detay_820
821,D,453,Detay_821
822,B,463,Detay_822
823,C,80,Detay_823
824,D,438,Detay_824
825,D,266,Detay_825
826,C,278,Detay_826
827,B,303,Detay_827
828,C,410,Detay_828
829,D,495,Detay_829
830,A,365,Detay_830
831,A,431,Detay_831
832,C,138,Detay_832
833,D,394,Detay_833
834,A,92,Detay_834
835,D,380,Detay_835
836,C,167,Detay_836
837,A,470,Detay_837
838,D,16,Detay_838
839,A,372,Detay_839
840,C,157,Detay_840
841,D,53,Detay_841
842,A,466,Detay_842
843,C,22,Detay_843
844,A,304,Detay_844
845,A,29,Detay_845
846,B,482,Detay_846
847,B,14,Detay_847
848,C,121,Detay_848
849,B,61,Detay_849
850,C,379,Detay_850
851,B,418,Detay_851
852,A,405,Detay_852
853,C,483,Detay_853
854,C,449,Detay_854
855,A,479,Detay_855
856,C,394,Detay_856
857,C,81,Detay_857
858,B,493,Detay_858
859,C,186,Detay_859
860,D,460,Detay_860
861,A,31,Detay_861
862,B,379,Detay_862
863,B,497,Detay_863
864,D,478,Detay_864
865,A,94,Detay_865
866,A,40,Detay_866
867,B,394,Detay_867
868,C,242,Detay_868
869,B,420,Detay_869
870,A,267,Detay_870
871,D,386,Detay_871
872,B,358,Detay_872
873,A,499,Detay_873
874,B,394,Detay_874
875,C,307,Detay_875
876,B,401,Detay_876
877,B,300,Detay_877
878,A,118,Detay_878
879,A,44,Detay_879
880,A,400,Detay_880
881,B,288,Detay_881
882,C,32,Detay_882
883,D,244,Detay_883
884,D,311,Detay_884
885,A,496,Detay_885
886,A,284,Detay_886
887,B,88,Detay_887
888,D,81,Detay_888
889,A,106,Detay_889
890,C,492,Detay_890
891,C,241,Detay_891
892,A,22,Detay_892
893,A,443,Detay_893
894,D,424,Detay_894
895,D,208,Detay_895
896,B,349,Detay_896
897,D,136,Detay_897
898,C,431,Detay_898
899,C,322,Detay_899
900,A,273,Detay_900
901,D,109,Detay_901
902,B,23,Detay_902
903,C,359,Detay_903
904,C,188,Detay_904
905,B,18,Detay_905
906,B,150,Detay_906
907,C,213,Detay_907
908,C,203,Detay_908
909,B,47,Detay_909
910,C,30,Detay_910
911,A,166,Detay_911
912,A,93,Detay_912
913,B,393,Detay_913
914,D,187,Detay_914
915,B,201,Detay_915
916,B,393,Detay_916
917,D,274,Detay_917
918,D,280,Detay_918
919,D,446,Detay_919
920,A,234,Detay_920
921,C,190,Detay_921
922,A,464,Detay_922
923,C,268,Detay_923
924,A,352,Detay_924
925,C,31,Detay_925
926,A,304,Detay_926
927,D,470,Detay_927
928,B,274,Detay_928
929,A,427,Detay_929
930,C,21,Detay_930
931,D,43,Detay_931
932,A,310,Detay_932
933,A,362,Detay_933
934,D,260,Detay_934
935,A,315,Detay_935
936,B,364,Detay_936
937,A,165,Detay_937
938,B,304,Detay_938
939,B,268,Detay_939
940,D,184,Detay_940
941,A,21,Detay_941
942,D,52,Detay_942
943,A,342,Detay_943
944,A,385,Detay_944
945,C,204,Detay_945
946,A,283,Detay_946
947,D,120,Detay_947
948,B,99,Detay_948
949,A,275,Detay_949
950,C,269,Detay_950
951,D,366,Detay_951
952,A,277,Detay_952
953,D,62,Detay_953
954,C,188,Detay_954
955,C,281,Detay_955
956,D,154,Detay_956
957,A,497,Detay_957
958,B,360,Detay_958
959,C,419,Detay_959
960,A,267,Detay_960
961,A,38,Detay_961
962,B,359,Detay_962
963,C,184,Detay_963
964,C,404,Detay_964
965,A,366,Detay_965
966,A,171,Detay_966
967,B,464,Detay_967
968,B,240,Detay_968
969,C,38,Detay_969
970,D,490,Detay_970
971,C,130,Detay_971
972,A,186,Detay_972
973,C,129,Detay_973
974,D,356,Detay_974
975,B,153,Detay_975
976,D,346,Detay_976
977,D,212,Detay_977
978,D,407,Detay_978
979,B,278,Detay_979
980,D,428,Detay_980
981,D,483,Detay_981
982,D,61,Detay_982
983,A,34,Detay_983
984,D,241,Detay_984
985,B,245,Detay_985
986,D,390,Detay_986
987,D,452,Detay_987
988,B,469,Detay_988
989,D,248,Detay_989
990,B,382,Detay_990
991,D,77,Detay_991
992,B,435,Detay_992
993,D,441,Detay_993
994,D,498,Detay_994
995,A,250,Detay_995
996,A,228,Detay_996
997,D,127,Detay_997
998,D,438,Detay_998
999,C,81,Detay_999
1000,B,256,Detay_1000
1001,C,81,Yok
1002,A,294,Yok
1003,A,12,Yok
1004,A,286,Yok
1005,A,424,Yok
1006,D,150,Yok
1007,A,232,Yok
1008,D,474,Yok
1009,D,185,Yok
1010,A,361,Yok
1011,A,289,Yok
1012,B,267,Yok
1013,C,243,Yok
1014,A,12,Yok
1015,B,163,Yok
1016,B,11,Yok
1017,C,42,Yok
1018,D,43,Yok
1019,A,355,Yok
1020,C,107,Yok
1021,A,47,Yok
1022,B,136,Yok
1023,B,215,Yok
1024,D,232,Yok
1025,B,157,Yok
1026,B,147,Yok
1027,C,477,Yok
1028,A,170,Yok
1029,A,131,Yok
1030,C,54,Yok
1031,D,69,Yok
1032,A,459,Yok
1033,B,247,Yok
1034,A,198,Yok
1035,B,188,Yok
1036,D,21,Yok
1037,C,217,Yok
1038,A,146,Yok
1039,C,276,Yok
1040,A,158,Yok
1041,B,213,Yok
1042,C,205,Yok
1043,A,291,Yok
1044,B,456,Yok
1045,C,156,Yok
1046,C,499,Yok
1047,A,282,Yok
1048,A,260,Yok
1049,A,181,Yok
1050,B,198,Yok
1051,A,138,Yok
1052,C,249,Yok
1053,C,387,Yok
1054,A,209,Yok
1055,A,451,Yok
1056,D,359,Yok
1057,C,130,Yok
1058,B,124,Yok
1059,D,50,Yok
1060,A,161,Yok
1061,A,180,Yok
1062,C,346,Yok
1063,A,383,Yok
1064,B,103,Yok
1065,C,498,Yok
1066,A,125,Yok
1067,C,244,Yok
1068,A,274,Yok
1069,A,459,Yok
1070,A,227,Yok
1071,B,169,Yok
1072,B,228,Yok
1073,C,434,Yok
1074,A,20,Yok
1075,A,458,Yok
1076,B,125,Yok
1077,A,238,Yok
1078,B,283,Yok
1079,A,17,Yok
1080,C,292,Yok
1081,A,219,Yok
1082,A,274,Yok
1083,D,11,Yok
1084,B,90,Yok
1085,A,468,Yok
1086,A,311,Yok
1087,D,207,Yok
1088,D,398,Yok
1089,B,149,Yok
1090,D,181,Yok
1091,C,435,Yok
1092,D,364,Yok
1093,C,380,Yok
1094,B,481,Yok
1095,B,167,Yok
1096,B,61,Yok
1097,B,474,Yok
1098,B,312,Yok
1099,C,45,Yok
1100,C,79,Yok
1101,B,297,Yok
1102,D,235,Yok
1103,A,309,Yok
1104,B,409,Yok
1105,D,80,Yok
1106,A,361,Yok
1107,B,154,Yok
1108,B,169,Yok
1109,C,23,Yok
1110,A,419,Yok
1111,A,466,Yok
1112,D,150,Yok
1113,C,137,Yok
1114,C,226,Yok
1115,C,277,Yok
1116,C,182,Yok
1117,A,153,Yok
1118,A,487,Yok
1119,B,317,Yok
1120,B,158,Yok
1121,C,33,Yok
1122,C,52,Yok
1123,C,132,Yok
1124,B,398,Yok
1125,D,120,Yok
1126,D,298,Yok
1127,B,168,Yok
1128,B,18,Yok
1129,B,250,Yok
1130,B,44,Yok
1131,B,17,Yok
1132,B,340,Yok
1133,C,154,Yok
1134,C,89,Yok
1135,C,29,Yok
1136,C,484,Yok
1137,B,257,Yok
1138,D,343,Yok
1139,A,31,Yok
1140,B,447,Yok
1141,A,378,Yok
1142,D,80,Yok
1143,C,468,Yok
1144,D,218,Yok
1145,B,86,Yok
1146,C,380,Yok
1147,B,90,Yok
1148,C,468,Yok
1149,A,257,Yok
1150,A,461,Yok
1151,A,217,Yok
1152,D,168,Yok
1153,B,350,Yok
1154,D,490,Yok
1155,A,150,Yok
1156,B,122,Yok
1157,A,262,Yok
1158,D,38,Yok
1159,D,472,Yok
1160,D,147,Yok
1161,A,426,Yok
1162,B,408,Yok
1163,B,132,Yok
1164,A,372,Yok
1165,B,86,Yok
1166,A,44,Yok
1167,B,319,Yok
1168,C,414,Yok
1169,C,167,Yok
1170,D,377,Yok
1171,C,183,Yok
1172,C,244,Yok
1173,C,307,Yok
1174,A,208,Yok
1175,C,186,Yok
1176,C,417,Yok
1177,D,217,Yok
1178,C,78,Yok
